p,q,r,s,V
1,1,1,1,(5*Z)/8
1,1,1,2,(4096*Sqrt[2]*Z)/64827
1,1,1,3,(1269*Sqrt[3]*Z)/50000 
1,1,2,1,(4096*Sqrt[2]*Z)/64827
1,1,2,2,(16*Z)/729
1,1,2,3,(110592*Sqrt[6]*Z)/24137569
1,1,3,1,(1269*Sqrt[3]*Z)/50000
1,1,3,2,(110592*Sqrt[6]*Z)/24137569
1,1,3,3,(189*Z)/32768
1,2,1,1,(4096*Sqrt[2]*Z)/64827
1,2,1,2,(17*Z)/81
1,2,1,3,(1555918848*Sqrt[6]*Z)/75429903125
1,2,2,1,(16*Z)/729
1,2,2,2,(512*Sqrt[2]*Z)/84375
1,2,2,3,(2160*Sqrt[3]*Z)/823543
1,2,3,1,(110592*Sqrt[6]*Z)/24137569
1,2,3,2,(29943*Sqrt[3]*Z)/13176688
1,2,3,3,(1216512*Sqrt[2]*Z)/815730721
1,3,1,1,(1269*Sqrt[3]*Z)/50000
1,3,1,2,(1555918848*Sqrt[6]*Z)/75429903125
1,3,1,3,(815*Z)/8192
1,3,2,1,(110592*Sqrt[6]*Z)/24137569
1,3,2,2,(2160*Sqrt[3]*Z)/823543
1,3,2,3,(37826560*Sqrt[2]*Z)/22024729467
1,3,3,1,(189*Z)/32768
1,3,3,2,(1216512*Sqrt[2]*Z)/815730721
1,3,3,3,(617*Z)/(314928*Sqrt[3])
2,1,1,1,(4096*Sqrt[2]*Z)/64827
2,1,1,2,(16*Z)/729
2,1,1,3,(110592*Sqrt[6]*Z)/24137569
2,1,2,1,(17*Z)/81
2,1,2,2,(512*Sqrt[2]*Z)/84375
2,1,2,3,(29943*Sqrt[3]*Z)/13176688
2,1,3,1,(1555918848*Sqrt[6]*Z)/75429903125
2,1,3,2,(2160*Sqrt[3]*Z)/823543
2,1,3,3,(1216512*Sqrt[2]*Z)/815730721
2,2,1,1,(16*Z)/729
2,2,1,2,(512*Sqrt[2]*Z)/84375
2,2,1,3,(2160*Sqrt[3]*Z)/823543
2,2,2,1,(512*Sqrt[2]*Z)/84375
2,2,2,2,(77*Z)/512
2,2,2,3,(5870679552*Sqrt[6]*Z)/669871503125
2,2,3,1,(2160*Sqrt[3]*Z)/823543
2,2,3,2,(5870679552*Sqrt[6]*Z)/669871503125
2,2,3,3,(73008*Z)/9765625
2,3,1,1,(110592*Sqrt[6]*Z)/24137569
2,3,1,2,(2160*Sqrt[3]*Z)/823543
2,3,1,3,(37826560*Sqrt[2]*Z)/22024729467
2,3,2,1,(29943*Sqrt[3]*Z)/13176688
2,3,2,2,(5870679552*Sqrt[6]*Z)/669871503125
2,3,2,3,(32857*Z)/390625
2,3,3,1,(1216512*Sqrt[2]*Z)/815730721
2,3,3,2,(73008*Z)/9765625
2,3,3,3,(6890942464*Sqrt[2/3]*Z)/1210689028125
3,1,1,1,(1269*Sqrt[3]*Z)/50000
3,1,1,2,(110592*Sqrt[6]*Z)/24137569
3,1,1,3,(189*Z)/32768
3,1,2,1,(1555918848*Sqrt[6]*Z)/75429903125
3,1,2,2,(2160*Sqrt[3]*Z)/823543
3,1,2,3,(1216512*Sqrt[2]*Z)/815730721
3,1,3,1,(815*Z)/8192
3,1,3,2,(37826560*Sqrt[2]*Z)/22024729467
3,1,3,3,(617*Z)/(314928*Sqrt[3])
3,2,1,1,(110592*Sqrt[6]*Z)/24137569
3,2,1,2,(29943*Sqrt[3]*Z)/13176688
3,2,1,3,(1216512*Sqrt[2]*Z)/815730721
3,2,2,1,(2160*Sqrt[3]*Z)/823543
3,2,2,2,(5870679552*Sqrt[6]*Z)/669871503125
3,2,2,3,(73008*Z)/9765625
3,2,3,1,(37826560*Sqrt[2]*Z)/22024729467
3,2,3,2,(32857*Z)/390625
3,2,3,3,(6890942464*Sqrt[2/3]*Z)/1210689028125
3,3,1,1,(189*Z)/32768
3,3,1,2,(1216512*Sqrt[2]*Z)/815730721
3,3,1,3,(617*Z)/(314928*Sqrt[3])
3,3,2,1,(1216512*Sqrt[2]*Z)/815730721
3,3,2,2,(73008*Z)/9765625
3,3,2,3,(6890942464*Sqrt[2/3]*Z)/1210689028125
3,3,3,1,(617*Z)/(314928*Sqrt[3])
3,3,3,2,(6890942464*Sqrt[2/3]*Z)/1210689028125
3,3,3,3,(17*Z)/256
